win_rate_pct,profit_factor,net_pnl,trades,wins,losses,expectancy_R,max_drawdown_pct,final_equity,initial_equity,symbol
26.923076923076923,0.7450813492420935,-2135.978591201382,494,133,361,-0.19230769230769232,-30.748300450523775,7864.021408798618,10000.0,NZDUSDm
27.339449541284406,0.7411372754307699,-2197.1487500636867,545,149,396,-0.1798165137614679,-30.870981299992156,7802.851249936313,10000.0,GBPUSDm
26.824034334763947,0.7393020840006631,-2055.6548197219036,466,125,341,-0.19527896995708155,-32.605129197019615,7944.345180278096,10000.0,EURJPYm
26.18556701030928,0.7253819091465253,-2310.2963415742915,485,127,358,-0.21443298969072164,-28.384042394584903,7689.703658425708,10000.0,NZDCHFm
26.573426573426573,0.7215621375571334,-2541.3330064150923,572,152,420,-0.20279720279720279,-32.79752182995503,7458.666993584908,10000.0,USDCHFm
26.344086021505376,0.7174007524110364,-2559.28329539114,558,147,411,-0.20967741935483872,-31.280542165025306,7440.71670460886,10000.0,CADCHFm
26.48221343873518,0.7127420025855028,-2311.3038764760004,506,134,372,-0.20553359683794467,-24.050852668969803,7688.696123524,10000.0,AUDCADm
26.480836236933797,0.7074204384613044,-2578.579724714312,574,152,422,-0.20557491289198607,-26.42469023627759,7421.420275285688,10000.0,EURGBPm
26.39175257731959,0.7030331257218898,-2252.4790208342574,485,128,357,-0.20824742268041238,-28.607196998353917,7747.520979165743,10000.0,AUDJPYm
25.510204081632654,0.7015491170812322,-2518.859510210893,490,125,365,-0.23469387755102042,-29.84592649440339,7481.140489789107,10000.0,GBPAUDm
26.120857699805068,0.6948593633440888,-2444.8511115310266,513,134,379,-0.21637426900584794,-37.790595563331976,7555.148888468973,10000.0,CHFJPYm
24.701195219123505,0.6722276809581841,-2794.410690027903,502,124,378,-0.2589641434262948,-34.116304983486664,7205.589309972097,10000.0,AUDCHFm
23.952095808383234,0.6293570515533303,-2108.443910031395,334,80,254,-0.281437125748503,-22.622941846144005,7891.556089968605,10000.0,US500m
23.52941176470588,0.5813421825037054,-2881.8997597840016,459,108,351,-0.29411764705882354,-34.547967480119986,7118.100240215998,10000.0,EURNZDm
22.48995983935743,0.5775434477760403,-3347.5748124836173,498,112,386,-0.3253012048192771,-34.279784020735136,6652.425187516383,10000.0,AUDUSDm
22.573363431151243,0.5646400499969642,-3021.9774155358673,443,100,343,-0.3227990970654628,-33.41719503416527,6978.022584464133,10000.0,UNIUSDm
21.89655172413793,0.558941065153054,-3937.726613077244,580,127,453,-0.3431034482758621,-41.7201545745458,6062.273386922756,10000.0,GBPCHFm
20.994475138121548,0.5460937282173101,-3966.532048973123,543,114,429,-0.3701657458563536,-47.10602633892816,6033.467951026877,10000.0,EURCHFm
20.445344129554655,0.5393679651448143,-3812.094816898645,494,101,393,-0.3866396761133603,-42.00576185761614,6187.905183101355,10000.0,JP225m
16.964285714285715,0.4121249502895031,-1289.2554325490164,112,19,93,-0.49107142857142855,-15.454319067010857,8710.744567450984,10000.0,HK50m
11.11111111111111,0.24953211265304065,-149.250016324424,9,1,8,-0.6666666666666666,-1.4925001632442398,9850.749983675576,10000.0,STOXX50m
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,DOGEUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,ETHUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,BNBUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,BCHUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,AUS200m
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,BTCUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,ADAUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,DOTUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,LTCUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,IN50m
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,FR40m
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,MATICUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,SOLUSDm
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,UK100m
0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0,10000.0,XRPUSDm
